trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2019-10-08,002594.SZ,48.8,49.26,48.3,48.42,48.78,-0.36,-0.738,48614.84,237568.931
2019-10-09,002594.SZ,48.3,48.32,47.28,48.09,48.42,-0.33,-0.6815,50471.12,241379.431
2019-10-10,002594.SZ,48.4,49.2,48.36,49.0,48.09,0.91,1.8923,62553.09,306006.456
2019-10-11,002594.SZ,48.5,48.96,47.97,48.43,49.0,-0.57,-1.1633,75741.74,368013.99
2019-10-14,002594.SZ,48.98,49.38,48.5,48.85,48.43,0.42,0.8672,83881.52,410269.732
2019-10-15,002594.SZ,48.9,49.0,47.9,48.0,48.85,-0.85,-1.74,76610.72,369180.666
2019-10-16,002594.SZ,48.0,48.24,47.48,47.52,48.0,-0.48,-1.0,71503.54,340699.06
2019-10-17,002594.SZ,47.52,47.75,47.4,47.52,47.52,0.0,0.0,38510.23,183173.449
2019-10-18,002594.SZ,47.99,47.99,46.82,46.9,47.52,-0.62,-1.3047,75009.71,353826.124
2019-10-21,002594.SZ,46.9,46.98,46.21,46.57,46.9,-0.33,-0.7036,52825.36,245221.092
2019-10-22,002594.SZ,46.59,46.86,46.52,46.8,46.57,0.23,0.4939,33224.07,155146.533
2019-10-23,002594.SZ,46.79,46.95,46.56,46.6,46.8,-0.2,-0.4274,30367.55,141635.932
2019-10-24,002594.SZ,46.5,46.82,46.5,46.66,46.6,0.06,0.1288,31568.84,147314.379
2019-10-25,002594.SZ,46.8,47.17,46.44,47.04,46.66,0.38,0.8144,37075.53,173422.874
2019-10-28,002594.SZ,47.03,47.46,47.03,47.3,47.04,0.26,0.5527,52591.92,248669.255
2019-10-29,002594.SZ,47.34,47.89,47.1,47.15,47.3,-0.15,-0.3171,55109.38,261660.444
2019-10-30,002594.SZ,45.9,45.9,43.5,43.96,47.15,-3.19,-6.7656,172418.84,764931.68
2019-10-31,002594.SZ,43.95,43.95,42.6,42.85,43.96,-1.11,-2.525,110683.57,475701.013
2019-11-01,002594.SZ,42.8,43.75,42.3,43.57,42.85,0.72,1.6803,67304.5,291051.703
2019-11-04,002594.SZ,43.57,43.8,43.13,43.43,43.57,-0.14,-0.3213,54119.18,234941.651
